Ano;Mes;data;Distrito;Concelho;Freguesia;Tipo de Serviço;Ordens Serviço Realizadas (#);CodDistritoConcelhoFreguesia
2024;3;2024-03;Faro;Silves;União das freguesias de Alcantarilha e Pêra;Reposição de Potência Contratada;28;081309
2024;3;2024-03;Faro;Silves;União das freguesias de Algoz e Tunes;Reposição de Potência Contratada;13;081310
2024;3;2024-03;Faro;Silves;União das freguesias de Algoz e Tunes;Serviço de Corte e Re-Ligação;5;081310
2024;3;2024-03;Faro;São Brás de Alportel;São Brás de Alportel;Redução de Potência Contratada;53;081201
2024;3;2024-03;Faro;Tavira;Cachopo;Serviço de Corte e Re-Ligação;2;081401
2024;3;2024-03;Faro;Tavira;Santa Luzia;Redução de Potência Contratada;7;081408
2024;3;2024-03;Faro;Tavira;União das freguesias de Conceição e Cabanas de Tavira;Serviço de Corte e Re-Ligação;8;081410
2024;3;2024-03;Faro;Tavira;União das freguesias de Conceição e Cabanas de Tavira;Reposição de Potência Contratada;11;081410
2024;3;2024-03;Faro;Tavira;União das freguesias de Conceição e Cabanas de Tavira;Redução de Potência Contratada;20;081410
2024;3;2024-03;Faro;Tavira;União das freguesias de Luz de Tavira e Santo Estêvão;Redução de Potência Contratada;15;081411
2024;3;2024-03;Faro;Tavira;União das freguesias de Luz de Tavira e Santo Estêvão;Reposição de Potência Contratada;15;081411
2024;3;2024-03;Faro;Tavira;União das freguesias de Tavira (Santa Maria e Santiago);Servico Alteração Contractual;43;081412
2024;3;2024-03;Faro;Vila Real de Santo António;Monte Gordo;Redução de Potência Contratada;21;081603
2024;3;2024-03;Faro;Vila Real de Santo António;Monte Gordo;Serviço de Corte e Re-Ligação;6;081603
2024;3;2024-03;Faro;Vila Real de Santo António;Vila Nova de Cacela;Servico Alteração Contractual;11;081601
2024;3;2024-03;Faro;Vila Real de Santo António;Vila Real de Santo António;Reposição de Potência Contratada;34;081602
2024;3;2024-03;Faro;Vila Real de Santo António;Vila Real de Santo António;Redução de Potência Contratada;52;081602
2024;3;2024-03;Faro;Vila do Bispo;Budens;Serviço de Corte e Re-Ligação;5;081502
2024;3;2024-03;Faro;Vila do Bispo;Budens;Reposição de Potência Contratada;10;081502
2024;3;2024-03;Faro;Vila do Bispo;Vila do Bispo e Raposeira;Serviço de Corte e Re-Ligação;3;081506
2024;3;2024-03;Guarda;Aguiar da Beira;Carapito;Servico Alteração Contractual;2;090102
2024;3;2024-03;Guarda;Aguiar da Beira;Cortiçada;Reposição de Potência Contratada;2;090103
2024;3;2024-03;Guarda;Aguiar da Beira;Dornelas;Redução de Potência Contratada;1;090105
2024;3;2024-03;Guarda;Aguiar da Beira;Pena Verde;Configuração de EMI;1;090109
2024;3;2024-03;Guarda;Aguiar da Beira;Pena Verde;Reposição de Potência Contratada;1;090109
2024;3;2024-03;Guarda;Aguiar da Beira;Pinheiro;Configuração de EMI;1;090110
2024;3;2024-03;Guarda;Aguiar da Beira;União das freguesias de Aguiar da Beira e Coruche;Redução de Potência Contratada;5;090114
2024;3;2024-03;Guarda;Aguiar da Beira;União das freguesias de Aguiar da Beira e Coruche;Configuração de EMI;4;090114
2024;3;2024-03;Guarda;Aguiar da Beira;União das freguesias de Aguiar da Beira e Coruche;Reposição de Potência Contratada;6;090114
2024;3;2024-03;Guarda;Aguiar da Beira;União das freguesias de Sequeiros e Gradiz;Redução de Potência Contratada;1;090115
2024;3;2024-03;Guarda;Almeida;Almeida;Redução de Potência Contratada;3;090203
2024;3;2024-03;Guarda;Almeida;Castelo Bom;Reposição de Potência Contratada;1;090207
2024;3;2024-03;Guarda;Almeida;Freineda;Servico Alteração Contractual;3;090209
2024;3;2024-03;Guarda;Almeida;São Pedro de Rio Seco;Serviço de Corte e Re-Ligação;1;090224
2024;3;2024-03;Guarda;Almeida;União das freguesias de Castelo Mendo, Ade, Monteperobolso e Mesquitela;Serviço de Corte e Re-Ligação;1;090232
2024;3;2024-03;Guarda;Almeida;União das freguesias de Miuzela e Porto de Ovelha;Reposição de Potência Contratada;1;090236
2024;3;2024-03;Guarda;Almeida;Vale da Mula;Reposição de Potência Contratada;1;090227
2024;3;2024-03;Guarda;Celorico da Beira;Carrapichana;Servico Alteração Contractual;1;090304
2024;3;2024-03;Guarda;Celorico da Beira;Casas do Soeiro;Servico Alteração Contractual;1;090322
2024;3;2024-03;Guarda;Celorico da Beira;Forno Telheiro;Reposição de Potência Contratada;1;090306
2024;3;2024-03;Guarda;Celorico da Beira;Lajeosa do Mondego;Servico Alteração Contractual;3;090307
2024;3;2024-03;Guarda;Celorico da Beira;Maçal do Chão;Redução de Potência Contratada;1;090309
2024;3;2024-03;Guarda;Celorico da Beira;Maçal do Chão;Serviço de Corte e Re-Ligação;1;090309
2024;3;2024-03;Guarda;Celorico da Beira;Ratoeira;Reposição de Potência Contratada;2;090314
2024;3;2024-03;Guarda;Celorico da Beira;União das freguesias de Açores e Velosa;Serviço de Corte e Re-Ligação;1;090323
2024;3;2024-03;Guarda;Celorico da Beira;União das freguesias de Açores e Velosa;Reposição de Potência Contratada;1;090323
2024;3;2024-03;Guarda;Celorico da Beira;União das freguesias de Celorico (São Pedro e Santa Maria) e Vila Boa do Mondego;Servico Alteração Contractual;12;090324
2024;3;2024-03;Guarda;Celorico da Beira;Vale de Azares;Reposição de Potência Contratada;2;090318
2024;3;2024-03;Guarda;Celorico da Beira;Vale de Azares;Redução de Potência Contratada;1;090318
2024;3;2024-03;Guarda;Celorico da Beira;Vale de Azares;Serviço de Corte e Re-Ligação;1;090318
2024;3;2024-03;Guarda;Figueira de Castelo Rodrigo;Castelo Rodrigo;Redução de Potência Contratada;1;090403
2024;3;2024-03;Guarda;Figueira de Castelo Rodrigo;Escalhão;Serviço de Corte e Re-Ligação;4;090406
2024;3;2024-03;Guarda;Figueira de Castelo Rodrigo;Figueira de Castelo Rodrigo;Configuração de EMI;1;090408
2024;3;2024-03;Guarda;Figueira de Castelo Rodrigo;Mata de Lobos;Redução de Potência Contratada;1;090410
2024;3;2024-03;Guarda;Figueira de Castelo Rodrigo;União das freguesias de Algodres, Vale de Afonsinho e Vilar de Amargo;Redução de Potência Contratada;1;090418
2024;3;2024-03;Guarda;Figueira de Castelo Rodrigo;União das freguesias de Almofala e Escarigo;Reposição de Potência Contratada;1;090419
2024;3;2024-03;Guarda;Figueira de Castelo Rodrigo;União das freguesias de Cinco Vilas e Reigada;Reposição de Potência Contratada;1;090420
2024;3;2024-03;Guarda;Figueira de Castelo Rodrigo;União das freguesias de Freixeda do Torrão, Quintã de Pêro Martins e Penha de Águia;Redução de Potência Contratada;3;090421
2024;3;2024-03;Guarda;Figueira de Castelo Rodrigo;União das freguesias do Colmeal e Vilar Torpim;Redução de Potência Contratada;2;090422
2024;3;2024-03;Guarda;Figueira de Castelo Rodrigo;União das freguesias do Colmeal e Vilar Torpim;Serviço de Corte e Re-Ligação;2;090422
2024;3;2024-03;Guarda;Figueira de Castelo Rodrigo;Vermiosa;Redução de Potência Contratada;4;090415
2024;3;2024-03;Guarda;Figueira de Castelo Rodrigo;Vermiosa;Servico Alteração Contractual;4;090415
2024;3;2024-03;Guarda;Fornos de Algodres;Infias;Reposição de Potência Contratada;1;090507
2024;3;2024-03;Guarda;Fornos de Algodres;Matança;Servico Alteração Contractual;2;090510
2024;3;2024-03;Guarda;Fornos de Algodres;Muxagata;Reposição de Potência Contratada;1;090511
2024;3;2024-03;Guarda;Fornos de Algodres;Queiriz;Redução de Potência Contratada;2;090512
2024;3;2024-03;Guarda;Fornos de Algodres;União das freguesias de Cortiçô e Vila Chã;Reposição de Potência Contratada;1;090517
2024;3;2024-03;Guarda;Gouveia;Cativelos;Servico Alteração Contractual;1;090603
2024;3;2024-03;Guarda;Gouveia;Gouveia;Reposição de Potência Contratada;12;090625
2024;3;2024-03;Guarda;Gouveia;Gouveia;Serviço de Corte e Re-Ligação;1;090625
2024;3;2024-03;Guarda;Gouveia;Gouveia;Redução de Potência Contratada;15;090625
2024;3;2024-03;Guarda;Gouveia;Paços da Serra;Redução de Potência Contratada;1;090613
2024;3;2024-03;Guarda;Gouveia;Ribamondego;Reposição de Potência Contratada;1;090614
2024;3;2024-03;Guarda;Gouveia;São Paio;Serviço de Corte e Re-Ligação;1;090617
2024;3;2024-03;Guarda;Gouveia;São Paio;Servico Alteração Contractual;2;090617
2024;3;2024-03;Guarda;Gouveia;União das freguesias de Figueiró da Serra e Freixo da Serra;Reposição de Potência Contratada;1;090624
2024;3;2024-03;Guarda;Gouveia;União das freguesias de Figueiró da Serra e Freixo da Serra;Serviço de Corte e Re-Ligação;1;090624
2024;3;2024-03;Guarda;Gouveia;Vila Franca da Serra;Reposição de Potência Contratada;1;090620
2024;3;2024-03;Guarda;Guarda;Alvendre;Configuração de EMI;1;090705
2024;3;2024-03;Guarda;Guarda;Arrifana;Reposição de Potência Contratada;1;090706
2024;3;2024-03;Guarda;Guarda;Codesseiro;Servico Alteração Contractual;1;090714
2024;3;2024-03;Guarda;Guarda;Gonçalo;Serviço de Corte e Re-Ligação;1;090757
2024;3;2024-03;Guarda;Guarda;Guarda;Redução de Potência Contratada;134;090758
2024;3;2024-03;Guarda;Guarda;Guarda;Configuração de EMI;5;090758
2024;3;2024-03;Guarda;Guarda;Guarda;Servico Alteração Contractual;90;090758
2024;3;2024-03;Guarda;Guarda;Jarmelo São Pedro;Reposição de Potência Contratada;1;090760
2024;3;2024-03;Guarda;Guarda;Maçainhas;Servico Alteração Contractual;2;090723
2024;3;2024-03;Guarda;Guarda;Pêra do Moço;Reposição de Potência Contratada;2;090730
2024;3;2024-03;Guarda;Guarda;União de freguesias de Corujeira e Trinta;Servico Alteração Contractual;1;090762
2024;3;2024-03;Guarda;Guarda;União de freguesias de Corujeira e Trinta;Redução de Potência Contratada;1;090762
2024;3;2024-03;Guarda;Guarda;União de freguesias de Rochoso e Monte Margarida;Redução de Potência Contratada;1;090765
2024;3;2024-03;Guarda;Guarda;Valhelhas;Servico Alteração Contractual;3;090747
2024;3;2024-03;Guarda;Guarda;Vela;Serviço de Corte e Re-Ligação;1;090748
2024;3;2024-03;Guarda;Guarda;Videmonte;Servico Alteração Contractual;1;090749
2024;3;2024-03;Guarda;Manteigas;Manteigas (Santa Maria);Serviço de Corte e Re-Ligação;2;090802
2024;3;2024-03;Guarda;Manteigas;Manteigas (Santa Maria);Redução de Potência Contratada;4;090802
2024;3;2024-03;Guarda;Manteigas;Vale de Amoreira;Configuração de EMI;1;090804
2024;3;2024-03;Guarda;Manteigas;Vale de Amoreira;Servico Alteração Contractual;1;090804
2024;3;2024-03;Guarda;Mêda;Barreira;Configuração de EMI;1;090902
2024;3;2024-03;Guarda;Mêda;Longroiva;Servico Alteração Contractual;2;090907
2024;3;2024-03;Guarda;Mêda;Mêda, Outeiro de Gatos e Fonte Longa;Servico Alteração Contractual;10;090917
2024;3;2024-03;Guarda;Mêda;Poço do Canto;Servico Alteração Contractual;2;090912
2024;3;2024-03;Guarda;Mêda;Poço do Canto;Reposição de Potência Contratada;1;090912
2024;3;2024-03;Guarda;Mêda;Prova e Casteição;Redução de Potência Contratada;2;090918
2024;3;2024-03;Guarda;Mêda;Rabaçal;Servico Alteração Contractual;1;090914
2024;3;2024-03;Guarda;Mêda;Ranhados;Reposição de Potência Contratada;1;090915
2024;3;2024-03;Guarda;Mêda;Ranhados;Configuração de EMI;1;090915
2024;3;2024-03;Guarda;Mêda;União das freguesias de Vale Flor, Carvalhal e Pai Penela;Reposição de Potência Contratada;1;090919
2024;3;2024-03;Guarda;Pinhel;Agregação das freguesias Sul de Pinhel;Serviço de Corte e Re-Ligação;1;091028
2024;3;2024-03;Guarda;Pinhel;Alto do Palurdo;Serviço de Corte e Re-Ligação;1;091032
